tenure,PaymentMethod_Credit card (automatic),InternetService_Fiber optic,Churn
0,0,0,0
0.464788732,0,0,0
0.014084507,0,0,1
0.61971831,0,0,0
0.014084507,0,1,1
0.098591549,0,1,1
0.295774648,1,1,0
0.126760563,0,0,0
0.38028169,0,1,1
0.85915493,0,0,0
0.169014085,0,0,0
0.211267606,1,0,0
0.802816901,1,1,0
0.676056338,0,1,1
0.338028169,0,1,0
0.957746479,1,1,0
0.718309859,0,0,0
0.985915493,0,1,0
0.126760563,1,0,1
0.281690141,0,1,0
0,0,0,1
0.154929577,0,0,0
0,0,0,1
0.802816901,1,0,0
0.676056338,1,0,0
0.408450704,0,0,0
0.647887324,0,1,1
0,0,0,1
1,1,0,0
0.225352113,0,0,1
0.985915493,1,1,0
0.014084507,1,1,0
0.366197183,0,0,0
0,0,0,0
0,0,0,0
1,0,1,0
0.056338028,0,1,1
0.633802817,1,1,0
0.464788732,0,1,1
0.14084507,0,1,1
0.126760563,0,0,0
0.971830986,1,0,0
0.225352113,0,0,0
0.873239437,1,0,0
0.169014085,0,0,0
0.676056338,0,1,0
0.014084507,0,0,0
0.014084507,0,1,1
0.718309859,1,0,0
0.957746479,1,0,0
0.591549296,0,1,0
0.197183099,1,1,1
0.338028169,1,0,0
0.098591549,1,1,1
0.830985915,1,0,0
0.23943662,0,1,1
0.873239437,1,1,0
0.915492958,0,1,0
0.464788732,1,0,0
1,1,1,0
0.647887324,0,1,0
0.830985915,0,1,0
1,0,0,0
0.23943662,1,0,0
0.112676056,0,1,1
0.028169014,0,0,0
0.647887324,0,1,0
0.422535211,0,0,0
0.690140845,0,0,0
0.126760563,0,1,0
0,0,0,0
0.718309859,0,0,0
0.887323944,0,1,0
0.85915493,0,0,0
0.028169014,0,0,0
0.774647887,0,1,0
0.633802817,1,0,0
0.098591549,0,0,0
0.408450704,0,0,0
0.61971831,1,0,0
0,0,1,1
0.14084507,0,0,0
0.084507042,0,1,1
0.577464789,0,1,0
0.676056338,0,0,0
0.112676056,1,1,0
0.478873239,0,0,0
0.661971831,0,0,0
0.633802817,0,0,0
0.394366197,0,0,0
0.408450704,0,1,0
0,0,1,0
0.915492958,0,0,0
0.901408451,1,1,0
1,0,1,0
0.154929577,0,1,1
0.985915493,1,0,0
0.056338028,0,0,1
0.718309859,0,0,0
0.338028169,0,1,1
0,0,0,0
0,0,0,0
0.521126761,0,1,0
0.915492958,0,0,0
